Date,Open,High,Low,Close
10/02/2023,"149.37","149.37","149.37","149.37"
09/29/2023,"149.36","149.36","149.36","149.36"
09/28/2023,"149.76","149.76","149.76","149.76"
09/27/2023,"148.87","148.87","148.87","148.87"
09/26/2023,"148.83","148.83","148.83","148.83"
09/25/2023,"151.05","151.05","151.05","151.05"
09/22/2023,"150.44","150.44","150.44","150.44"
09/21/2023,"150.78","150.78","150.78","150.78"
09/20/2023,"153.29","153.29","153.29","153.29"
09/19/2023,"154.73","154.73","154.73","154.73"
09/18/2023,"155.07","155.07","155.07","155.07"
09/15/2023,"154.95","154.95","154.95","154.95"
09/14/2023,"156.86","156.86","156.86","156.86"
09/13/2023,"155.50","155.50","155.50","155.50"
09/12/2023,"155.31","155.31","155.31","155.31"
09/11/2023,"156.19","156.19","156.19","156.19"
09/08/2023,"155.15","155.15","155.15","155.15"
09/07/2023,"154.92","154.92","154.92","154.92"
09/06/2023,"155.39","155.39","155.39","155.39"
09/05/2023,"156.48","156.48","156.48","156.48"
09/01/2023,"157.13","157.13","157.13","157.13"
08/31/2023,"156.84","156.84","156.84","156.84"
08/30/2023,"157.06","157.06","157.06","157.06"
08/29/2023,"156.43","156.43","156.43","156.43"
08/28/2023,"154.19","154.19","154.19","154.19"
08/25/2023,"153.23","153.23","153.23","153.23"
08/24/2023,"152.19","152.19","152.19","152.19"
08/23/2023,"154.26","154.26","154.26","154.26"
08/22/2023,"152.55","152.55","152.55","152.55"
08/21/2023,"152.97","152.97","152.97","152.97"
08/18/2023,"151.93","151.93","151.93","151.93"
08/17/2023,"151.94","151.94","151.94","151.94"
08/16/2023,"153.09","153.09","153.09","153.09"
08/15/2023,"154.23","154.23","154.23","154.23"
08/14/2023,"156.01","156.01","156.01","156.01"
08/11/2023,"155.11","155.11","155.11","155.11"
08/10/2023,"155.25","155.25","155.25","155.25"
08/09/2023,"155.19","155.19","155.19","155.19"
08/08/2023,"156.28","156.28","156.28","156.28"
08/07/2023,"156.94","156.94","156.94","156.94"
08/04/2023,"155.53","155.53","155.53","155.53"
08/03/2023,"156.35","156.35","156.35","156.35"
08/02/2023,"156.74","156.74","156.74","156.74"
08/01/2023,"158.94","158.94","158.94","158.94"
07/31/2023,"159.36","159.36","159.36","159.36"
07/28/2023,"159.12","159.12","159.12","159.12"
07/27/2023,"157.55","157.55","157.55","157.55"
07/26/2023,"158.56","158.56","158.56","158.56"
07/25/2023,"158.58","158.58","158.58","158.58"
07/24/2023,"158.13","158.13","158.13","158.13"
07/21/2023,"157.50","157.50","157.50","157.50"
07/20/2023,"157.45","157.45","157.45","157.45"
07/19/2023,"158.50","158.50","158.50","158.50"
07/18/2023,"158.13","158.13","158.13","158.13"
07/17/2023,"157.01","157.01","157.01","157.01"
07/14/2023,"156.41","156.41","156.41","156.41"
07/13/2023,"156.56","156.56","156.56","156.56"
07/12/2023,"155.23","155.23","155.23","155.23"
07/11/2023,"154.08","154.08","154.08","154.08"
07/10/2023,"153.05","153.05","153.05","153.05"
07/07/2023,"152.68","152.68","152.68","152.68"
07/06/2023,"153.70","153.70","153.70","153.70"
07/05/2023,"154.92","154.92","154.92","154.92"
07/03/2023,"155.20","155.20","155.20","155.20"
06/30/2023,"155.01","155.01","155.01","155.01"
06/29/2023,"153.13","153.13","153.13","153.13"
06/28/2023,"152.43","152.43","152.43","152.43"
06/27/2023,"152.48","152.48","152.48","152.48"
06/26/2023,"150.76","150.76","150.76","150.76"
06/23/2023,"151.43","151.43","151.43","151.43"
06/22/2023,"152.60","152.60","152.60","152.60"
06/21/2023,"152.02","152.02","152.02","152.02"
06/20/2023,"152.81","152.81","152.81","152.81"
06/16/2023,"153.54","153.54","153.54","153.54"
06/15/2023,"154.10","154.10","154.10","154.10"
06/14/2023,"152.22","152.22","152.22","152.22"
06/13/2023,"152.06","152.06","152.06","152.06"
06/12/2023,"151.01","151.01","151.01","151.01"
06/09/2023,"149.63","149.63","149.63","149.63"
06/08/2023,"149.44","149.44","149.44","149.44"
06/07/2023,"148.50","148.50","148.50","148.50"
06/06/2023,"149.07","149.07","149.07","149.07"
06/05/2023,"148.71","148.71","148.71","148.71"
06/02/2023,"149.01","149.01","149.01","149.01"
06/01/2023,"146.87","146.87","146.87","146.87"
05/31/2023,"145.41","145.41","145.41","145.41"
05/30/2023,"146.27","146.27","146.27","146.27"
05/26/2023,"146.26","146.26","146.26","146.26"
05/25/2023,"144.36","144.36","144.36","144.36"
05/24/2023,"143.11","143.11","143.11","143.11"
05/23/2023,"144.16","144.16","144.16","144.16"
05/22/2023,"145.79","145.79","145.79","145.79"
05/19/2023,"145.75","145.75","145.75","145.75"
05/18/2023,"145.96","145.96","145.96","145.96"
05/17/2023,"144.57","144.57","144.57","144.57"
05/16/2023,"142.84","142.84","142.84","142.84"
05/15/2023,"143.75","143.75","143.75","143.75"
05/12/2023,"143.31","143.31","143.31","143.31"
05/11/2023,"143.50","143.50","143.50","143.50"
05/10/2023,"143.72","143.72","143.72","143.72"
05/09/2023,"143.07","143.07","143.07","143.07"
05/08/2023,"143.72","143.72","143.72","143.72"
05/05/2023,"143.65","143.65","143.65","143.65"
05/04/2023,"141.04","141.04","141.04","141.04"
05/03/2023,"142.05","142.05","142.05","142.05"
05/02/2023,"143.05","143.05","143.05","143.05"
05/01/2023,"144.72","144.72","144.72","144.72"
04/28/2023,"144.78","144.78","144.78","144.78"
04/27/2023,"143.58","143.58","143.58","143.58"
